POG	JAG	LPO	WAR	LEG	WID	£KS	RAD	ZLU	ŒL¥	KOR	RAK	PIA	GZA	RCH	SMI	CRA	PNI	
0	574.152	194.713	183.444	457.968	384.299	380.161	503.557	252.608	303.836	505.346	432.928	450.539	454.475	464.236	588.676	527.892	544.971	
574.152	0	430.087	466.275	173.163	287.935	293.175	231.931	508.691	476.556	303.632	376.294	436.443	433.901	425.301	333.628	405.542	397.452	
194.713	430.087	0	37.6763	284.591	193.969	189.319	315.179	118.928	140.094	311.178	239.97	264.958	268.303	276.367	394.124	335.953	352.072	
183.444	466.275	37.6763	0	317.087	220.088	215.06	341.261	91.9367	127.093	330.676	250.789	267.379	271.228	280.819	411.82	344.888	362.429	
457.968	173.163	284.591	317.087	0	115.988	121.423	90.4328	344.313	306.814	153.728	206.143	267.348	265.32	258.227	215.116	252.348	249.933	
384.299	287.935	193.969	220.088	115.988	0	5.61175	121.358	231.925	191.179	127.552	112.647	171.789	171.302	168.7	211.772	192.138	199.61	
380.161	293.175	189.319	215.06	121.423	5.61175	0	126.25	226.32	185.64	130.163	110.483	168.973	168.632	166.449	214.541	191.963	200.013	
503.557	231.931	315.179	341.261	90.4328	121.358	126.25	0	344.344	295.479	71.77	156.734	211.97	208.649	198.218	124.766	173.836	167.243	
252.608	508.691	118.928	91.9367	344.313	231.925	226.32	344.344	0	59.5398	314.767	218.051	213.692	218.378	230.702	387.547	301.472	321.589	
303.836	476.556	140.094	127.093	306.814	191.179	185.64	295.479	59.5398	0	259.836	160.41	154.348	158.983	171.194	329.933	241.961	262.153	
505.346	303.632	311.178	330.676	153.728	127.552	130.163	71.77	314.767	259.836	9.48543e-05	103.557	149.222	145.217	133.142	84.4756	102.084	96.6675	
432.928	376.294	239.97	250.789	206.143	112.647	110.483	156.734	218.051	160.41	103.557	0	61.4923	60.0179	56.068	169.582	96.3992	112.144	
450.539	436.443	264.958	267.379	267.348	171.789	168.973	211.97	213.692	154.348	149.222	61.4923	0	5.08991	19.2895	194.422	91.1238	112.547	
454.475	433.901	268.303	271.228	265.32	171.302	168.632	208.649	218.378	158.983	145.217	60.0179	5.08991	0	14.2383	189.472	86.052	107.463	
464.236	425.301	276.367	280.819	258.227	168.7	166.449	198.218	230.702	171.194	133.142	56.068	19.2895	14.2383	0	175.303	72.2637	93.5401	
588.676	333.628	394.124	411.82	215.116	211.772	214.541	124.766	387.547	329.933	84.4756	169.582	194.422	189.472	175.303	0	111.378	91.8598	
527.892	405.542	335.953	344.888	252.348	192.138	191.963	173.836	301.472	241.961	102.084	96.3992	91.1238	86.052	72.2637	111.378	0	21.662	
544.971	397.452	352.072	362.429	249.933	199.61	200.013	167.243	321.589	262.153	96.6675	112.144	112.547	107.463	93.5401	91.8598	21.662	9.48543e-05	
